worksite,h1bcount
ALABAMA,1781
ALASKA,246
ARIZONA,7306
ARKANSAS,2329
CALIFORNIA,98512
COLORADO,5811
CONNECTICUT,8917
DELAWARE,3184
DISTRICT OF COLUMBIA,3727
FLORIDA,17644
GEORGIA,17728
HAWAII,602
IDAHO,609
ILLINOIS,27407
INDIANA,5509
IOWA,3168
KANSAS,2424
KENTUCKY,2170
LOUISIANA,1838
MAINE,714
MARYLAND,9601
MASSACHUSETTS,19913
MICHIGAN,13918
MINNESOTA,8996
MISSISSIPPI,678
MISSOURI,6200
MONTANA,134
NA,547
NEBRASKA,1708
NEVADA,1231
NEW HAMPSHIRE,1676
NEW JERSEY,36783
NEW MEXICO,908
NEW YORK,48877
NORTH CAROLINA,13550
NORTH DAKOTA,490
OHIO,13515
OKLAHOMA,1846
OREGON,4595
PENNSYLVANIA,19150
PUERTO RICO,209
RHODE ISLAND,2225
SOUTH CAROLINA,2084
SOUTH DAKOTA,281
TENNESSEE,4584
TEXAS,51851
UTAH,2369
VERMONT,362
VIRGINIA,15475
WASHINGTON,17917
WEST VIRGINIA,431
WISCONSIN,5529
WYOMING,168
