worksite,h1bcount,,employer_name1,count1,employer_name2,count2,employer_name3,count3,employer_name4,count4,employer_name5,count5
ALABAMA,1873
ALASKA,213
ARIZONA,8746
ARKANSAS,3015
CALIFORNIA,115743,INFOSYS LIMITED,2780,"TECH MAHINDRA (AMERICAS)INC.",1390,TATA CONSULTANCY SERVICES LIMITED,1278,ACCENTURE LLP,1166,WIPRO LIMITED,1051
COLORADO,6827
CONNECTICUT,10142
DELAWARE,3760
DISTRICT OF COLUMBIA,4099
FLORIDA,20401
GEORGIA,23026
HAWAII,598
IDAHO,778
ILLINOIS,32768
INDIANA,6150
IOWA,3207
KANSAS,2598
KENTUCKY,2403
LOUISIANA,2702
MAINE,718
MARYLAND,10891
MASSACHUSETTS,23488
MICHIGAN,18318
MINNESOTA,9975
MISSISSIPPI,792
MISSOURI,7182
MONTANA,205
NA,666
NEBRASKA,1815
NEVADA,1350
NEW HAMPSHIRE,2078
NEW JERSEY,47662
NEW MEXICO,1005
NEW YORK,55017
NORTH CAROLINA,17413
NORTH DAKOTA,575
OHIO,16066
OKLAHOMA,2046
OREGON,4803
PENNSYLVANIA,22202
PUERTO RICO,214
RHODE ISLAND,2881
SOUTH CAROLINA,2801
SOUTH DAKOTA,398
TENNESSEE,5161
TEXAS,62550
UTAH,2702
VERMONT,351
VIRGINIA,19045
WASHINGTON,21665
WEST VIRGINIA,579
WISCONSIN,6898
WYOMING,166
